TextRank Score,Text,Entities,Entities Count
0.0012704676706086545,Three-year-old girl dies after being thrown from 7th floor window. Detectives investigating why man committed 'such a ho,US,216
0.0012456643510816053,7-year-old woman accused of killing 82-year-old neighbour with brick. Victim found dead in back garden after being hit ',820,81
0.0012169180259154126,Man takes dead body to police station and says he killed three more people. Shankar is now facing four murder charges,TWO,74
0.0011764048494697975,"The /11 disease that’s given men breast cancer and already killed 2,000 heroes – and the death toll is set to overtake t",ONE,63
