name,coefficient,abs_value
grimley,-0.0,0.0
grimesthorp,0.0,0.0
grilli,0.0,0.0
grigor,0.0,0.0
griffith,0.0,0.0
griffin,0.0,0.0
grid,0.0,0.0
gretna,0.0,0.0
greta_thunberg,-0.0,0.0
zurich,0.0,0.0
