name,coefficient,abs_value
genoa,-0.0,0.0
geneva,0.0,0.0
genest,0.0,0.0
gener_soleimani,0.0,0.0
gener_qassem,0.0,0.0
gener_assembl,-0.0,0.0
gender,0.0,0.0
gen,0.0,0.0
geimer,0.0,0.0
édouard,0.0,0.0
